_id,edb_id,repair_platform[0],repair_platform[1],repair_platform[2],repair_platform[3],repair_platform[4],repair_platform[5],repair_platform[6],repair_platform[7],repair_platform[8],repair_platform[9],repair_platform[10],repair_platform[11],repair_platform[12],repair_platform[13],repair_platform[14],source_values.EDB_s[0],source_values.EDB_s[1],source_values.EDB_us[0],source_values.EDB_us[1],source_values.EDB_us[2],source_values.EDB_us[3],source_values.EDB_us[4],source_values.EDB_us[5],source_values.EDB_us[6],source_values.EDB_us[7],source_values.EDB_us[8],source_values.EDB_us[9],source_values.EDB_us[10],source_values.EDB_us[11],source_values.EDB_us[12],source_values.EDB_us[13],source_values.EDB_us[14],source_values.EDB_us[15],source_values.EDB_us[16],source_values.EDB_us[17],source_values.EDB_us[18],source_values.EDB_us[19],source_values.EDB_us[20],source_values.EDB_us[21],source_values.EDB_us[22],source_values.EDB_us[23],source_values.EDB_us[24],source_values.EDB_us[25],source_values.EDB_us[26],source_values.EDB_us[27],source_values.EDB_us[28],source_values.CVE_us[0],source_values.CVE_us[1],source_values.CVE_us[2],source_values.CVE_us[3],source_values.CVE_us[4],source_values.CVE_us[5],source_values.CVE_us[6],source_values.CVE_us[7],source_values.CVE_us[8],source_values.CVE_us[9],source_values.CVE_us[10],source_values.CVE_us[11],source_values.CVE_us[12],source_values.CVE_us[13],source_values.CVE_us[14],source_values.CVE_us[15],source_values.CVE_us[16],source_values.CVE_us[17],source_values.CVE_us[18],source_values.CVE_us[19],source_values.CVE_us[20],source_values.CVE_us[21],source_values.CVE_us[22],source_values.CVE_us[23],source_values.CVE_us[24],source_values.CVE_us[25],source_values.CVE_us[26],source_values.CVE_us[27],source_values.CVE_us[28],source_values.CVE_us[29],source_values.CVE_us[30],source_values.CVE_us[31],source_values.CVE_us[32],source_values.CVE_us[33],source_values.CVE_us[34],source_values.CVE_us[35],source_values.CVE_us[36],source_values.CNNVD_us[0],source_values.CNNVD_us[1],source_values.CNNVD_us[2],source_values.CNNVD_us[3],source_values.CNNVD_us[4],source_values.CNNVD_us[5],source_values.CNNVD_us[6],source_values.CNNVD_us[7],source_values.CNNVD_us[8],source_values.CNNVD_us[9],source_values.CNNVD_us[10],source_values.CNNVD_us[11],source_values.CNNVD_us[12],source_values.CNNVD_us[13],source_values.CNNVD_us[14],source_values.NVD_us[0],source_values.NVD_us[1],source_values.NVD_us[2],source_values.NVD_us[3],source_values.NVD_us[4],source_values.NVD_us[5],source_values.NVD_us[6],source_values.NVD_us[7],source_values.NVD_us[8],source_values.NVD_us[9],source_values.NVD_us[10],source_values.NVD_us[11],source_values.NVD_us[12],source_values.NVD_us[13],source_values.NVD_us[14],source_values.NVD_us[15],source_values.NVD_us[16],source_values.NVD_us[17],source_values.NVD_us[18],source_values.NVD_us[19],source_values.NVD_us[20],source_values.NVD_us[21]
6a2f8faa0de103506950db15,19109,bsd,linux,,,,,,,,,,,,,,linux,,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bsd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bsd,linux,,,,,,,,,,,,,,bsd,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db16,19545,bsd,linux,,,,,,,,,,,,,,bsd,,bsd,irix,solaris,,,,,,,,,,,,,,,,,,,,,,,,,,,bsd,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bsd,linux,,,,,,,,,,,,,,bsd,linux,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db17,19546,perl,,,,,,,,,,,,,,,multiple,,bsd,irix,linux,perl,,,,,,,,,,,,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db18,19547,perl,,,,,,,,,,,,,,,multiple,,bsd,irix,linux,perl,,,,,,,,,,,,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db19,19536,cgi,,,,,,,,,,,,,,,multiple,,cgi,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db1a,19350,irix,,,,,,,,,,,,,,,solaris,,solaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,irix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,irix,,,,,,,,,,,,,,,irix,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db1b,19557,cgi,,,,,,,,,,,,,,,linux,,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db1c,19553,cgi,php,,,,,,,,,,,,,,php,,php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,php,,,,,,,,,,,,,,cgi,php,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db1d,22251,aix,solaris,,,,,,,,,,,,,,multiple,,aix,ppc,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,aix,solaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aix,bsd,hp-ux,linux,solaris,unixware,,,,,,,,,,aix,solaris,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db1e,338,irix,,,,,,,,,,,,,,,solaris,,solaris,sparc,,,,,,,,,,,,,,,,,,,,,,,,,,,,irix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,irix,,,,,,,,,,,,,,,irix,,,,,,,,,,,,,,,,,,,,,
