_id,edb_id,original_edb_s_type[0],original_edb_us_type[0],original_edb_us_type[1],original_edb_us_type[2],original_edb_us_type[3],original_type_fields.edb_s_type[0],original_type_fields.edb_us_type[0],original_type_fields.edb_us_type[1],original_type_fields.edb_us_type[2],original_type_fields.edb_us_type[3],original_type_fields.cves_5type[0],original_type_fields.cves_5type[1],original_type_fields.cves_5type[2],original_type_fields.cves_5type[3],original_type_fields.cves_5type[4],original_type_fields.cnnvds_5type[0],original_type_fields.cnnvds_5type[1],original_type_fields.cnnvds_5type[2],original_type_fields.cnnvds_5type[3],original_type_fields.cnnvds_5type[4],original_type_fields.nvds_5type[0],original_type_fields.nvds_5type[1],original_type_fields.nvds_5type[2],original_type_fields.nvds_5type[3],original_type_fields.nvds_5type[4],repair_edb_s_type[0],repair_edb_s_type[1],repair_edb_s_type[2],repair_edb_s_type[3],repair_edb_s_type[4],fixed_type,new_fixed_type,ischanged
6a2f96210de103506951a1f6,19111,remote,remote,,,,remote,remote,,,,remote,dos,,,,remote,webapps,dos,,,remote,dos,,,,remote,dos,,,,,remote,0
6a2f96210de103506951a1f7,19112,remote,remote,,,,remote,remote,,,,remote,dos,,,,remote,webapps,dos,,,remote,dos,,,,remote,dos,,,,,remote,0
6a2f96210de103506951a1f8,19108,local,local,,,,local,local,,,,local,dos,,,,local,dos,,,,local,dos,,,,local,dos,,,,,local,0
6a2f96210de103506951a1f9,19103,dos,remote,dos,,,dos,remote,dos,,,remote,dos,,,,remote,dos,,,,remote,dos,,,,remote,dos,,,,,dos,0
6a2f96210de103506951a1fa,20810,dos,remote,dos,,,dos,remote,dos,,,dos,,,,,remote,dos,,,,remote,dos,,,,remote,dos,,,,,dos,0
6a2f96210de103506951a1fb,20811,dos,remote,dos,,,dos,remote,dos,,,dos,,,,,remote,dos,,,,remote,dos,,,,remote,dos,,,,,dos,0
6a2f96210de103506951a1fc,20812,dos,remote,dos,,,dos,remote,dos,,,dos,,,,,remote,dos,,,,remote,dos,,,,remote,dos,,,,,dos,0
6a2f96210de103506951a1fd,20813,dos,remote,dos,,,dos,remote,dos,,,dos,,,,,remote,dos,,,,remote,dos,,,,remote,dos,,,,,dos,0
6a2f96210de103506951a1fe,20814,dos,remote,dos,,,dos,remote,dos,,,dos,,,,,remote,dos,,,,remote,dos,,,,remote,dos,,,,,dos,0
6a2f96210de103506951a1ff,19104,remote,remote,,,,remote,remote,,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f96210de103506951a200,19105,remote,remote,webapps,,,remote,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,remote,0
